"Scan/Ion","p106555_Total","p106556_Total","p106557_Total","p106558_Total","t106555_Total","t106556_Total","t106557_Total","t106558_Total","p106555_%Total","p106556_%Total","p106557_%Total","p106558_%Total","t106555_%Total","t106556_%Total","t106557_%Total","t106558_%Total"
"Oligo: 553.1875, HexNAc-NeuGc[Ac]","5","9","6","5","101","133","114","121","0.03492107836289984","0.06252605252188412","0.04167534903104814","0.034782608695652174","0.6980440942705094","0.9199695649166494","0.7893643539675945","0.8339651250947688"
"Oligo: 569.2188, HexNAc2-Hex","2939","4254","3178","4157","1104","2223","1340","1922","20.52660986171253","29.553980825343896","22.07404320344516","28.918260869565216","7.630105743313291","15.376634156463997","9.278493283478742","13.246950168860709"
"Oligo: 657.2349, HexNAc-Hex-NeuAc","13013","13547","13198","13205","8604","10390","9416","9894","90.88559854728314","94.1156037237738","91.67187608529555","91.8608695652174","59.46506323864814","71.86829909386456","65.1987259382357","68.19215659245985"
"Oligo: 673.2297, HexNAc-Hex-NeuGc","115","91","94","92","50","44","44","32","0.8031848023466964","0.6322078643879394","0.6529138014864208","0.64","0.3455663833022324","0.30435083350625997","0.30466694363661545","0.22055276035564134"
"Oligo: 690.2451, HexNAc-Hex3","6809","8582","7924","7879","2626","4483","3326","3987","47.55552451459701","59.62206474920105","55.03924428700424","54.810434782608695","18.149146451033243","31.009199695649166","23.03005123944052","27.479495485560683"
"Oligo: 731.2717, HexNAc2-Hex2 (diLacNAc)","6284","7846","6732","7210","2104","3915","2643","3355","43.888811286492526","54.50882312074475","46.75974161283601","50.15652173913043","14.541433409357937","27.080307117659263","18.300789364353967","23.12357846853677"
"Oligo: 819.2877, HexNAc-Hex2-NeuAc","5143","7303","5942","6727","2294","4228","2919","3662","35.91982120407879","50.736417951924416","41.272487323748","46.796521739130434","15.85458566590642","29.245348274192434","20.21188201080183","25.239506513198705"
"Oligo: 835.2825, HexNAc-Hex2-NeuGc","18","16","18","16","22","20","31","20","0.12571588210643944","0.11115742670557177","0.1250260470931444","0.11130434782608695","0.15204920865298224","0.13834128795739087","0.21465171028943358","0.13784547522227583"
"Oligo: 860.3143, HexNAc2-Hex-NeuAc","14","21","12","30","46","53","48","47","0.09777901941611956","0.14589412255106293","0.08335069806209627","0.20869565217391303","0.3179210726380538","0.3666044130870858","0.3323639385126714","0.3239368667723482"
"Oligo: 876.3091, HexNAc2-Hex-NeuGc","5","4","6","2","41","32","36","37","0.03492107836289984","0.027789356676392943","0.04167534903104814","0.013913043478260868","0.28336443430783054","0.22134606073182542","0.24927295388450355","0.25501412916121025"
"Oligo: 893.3245, HexNAc2-Hex3","5582","7707","6560","6869","2213","4002","2840","3526","38.98589188434139","53.5431429762401","45.56504827394596","47.78434782608696","15.294768124956803","27.682091720273917","19.66486636199972","24.30215728168723"
