PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,P00492,HPRT_HUMAN,10,10,10,88591.6328125,91950.96875,94399.3515625
P00558,PGK1,Phosphoglycerate kinase 1,P00558,PGK1_HUMAN,32,32,32,277491.875,302374.4375,276445.1875
P00568,AK1,Adenylate kinase isoenzyme 1,P00568,KAD1_HUMAN,19,20,19,392880.21875,366126.84375,417091.90625
P00734,F2,Prothrombin,P00734,THRB_HUMAN,43,43,43,1066746.125,1061259,945550.375
P00736,C1R,Complement C1r subcomponent,P00736,C1R_HUMAN,30,30,30,103633.1484375,60942.33984375,98963.4296875
P00738,HP,Haptoglobin,P00738,HPT_HUMAN,89,88,82,2832306.25,3092730.25,4016671.25
P00739,HPR,Haptoglobin-related protein,P00739,HPTR_HUMAN,6,6,6,160248.46875,143192.0625,167720.640625
P00740,F9,Coagulation factor IX,P00740,FA9_HUMAN,4,4,4,7992.884765625,7428.9306640625,9462.77734375
P00742,F10,Coagulation factor X,P00742,FA10_HUMAN,4,4,4,13498.9287109375,14027.2392578125,14266.7265625
P00746,CFD,Complement factor D,P00746,CFAD_HUMAN,3,3,3,25308.44140625,22988.322265625,29551.212890625
P00747,PLG,Plasminogen,P00747,PLMN_HUMAN,59,61,60,512249.75,504804.0625,529667.6875
P00748,F12,Coagulation factor XII,P00748,FA12_HUMAN,13,14,14,80112.5390625,160731.9375,153791.828125
P00751,CFB,Complement factor B,P00751,CFAB_HUMAN,51,51,50,660874.4375,511142.78125,744052.9375
P00760,,Cationic trypsin,P00760,TRY1_BOVIN,112,112,111,65995652,53833828,51232200
P00761,,Trypsin,P00761,TRYP_PIG,1,1,1,82324.4375,71172.671875,57520.81640625
P00813,ADA,Adenosine deaminase,P00813,ADA_HUMAN,2,2,2,10674.935546875,13943.7548828125,6651.51171875
P00915,CA1,Carbonic anhydrase 1,P00915,CAH1_HUMAN,121,121,125,14044595,11203439,15165217
P00918,CA2,Carbonic anhydrase 2,P00918,CAH2_HUMAN,55,55,55,2889315.5,2708862.5,2719729.75
P01008,SERPINC1,Antithrombin-III,P01008,ANT3_HUMAN,39,40,39,911398.3125,823467.75,817300.4375
P01009,SERPINA1,Alpha-1-antitrypsin,P01009,A1AT_HUMAN,97,97,96,6392002,6243896,4928309
P01011,SERPINA3,Alpha-1-antichymotrypsin,P01011,AACT_HUMAN,40,40,40,1323078,1040181.6875,1172001.5
P01019,AGT,Angiotensinogen,P01019,ANGT_HUMAN,18,18,18,312711.65625,260844.546875,178036.328125
P01023,A2M,Alpha-2-macroglobulin,P01023,A2MG_HUMAN,181,182,179,2280741.5,3869977,2071383.875
P01024,C3,Complement C3,P01024,CO3_HUMAN,204,203,203,2775581,2128566.75,2241662
P01031,C5,Complement C5,P01031,CO5_HUMAN,44,43,44,196003.375,154060.75,203814.890625
