PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
P16401,P16401,H1-5,Histone H1.5,H15_HUMAN,1,1,1,342783.59375,373816.65625,300362.6875
P16671,P16671,CD36,Platelet glycoprotein 4,CD36_HUMAN,1,1,1,6432.5234375,5899.0751953125,6714.99755859375
P17612;P22612;P22694,P17612;P22612;P22694,PRKACA;PRKACG;PRKACB,cAMP-dependent protein kinase catalytic subunit alpha;cAMP-dependent protein kinase catalytic subunit gamma;cAMP-dependent protein kinase catalytic subunit beta,KAPCA_HUMAN;KAPCG_HUMAN;KAPCB_HUMAN,0,0,1,NaN,NaN,86357.234375
P17936,P17936,IGFBP3,Insulin-like growth factor-binding protein 3,IBP3_HUMAN,10,11,11,165013.359375,144486.40625,131521.78125
P18065,P18065,IGFBP2,Insulin-like growth factor-binding protein 2,IBP2_HUMAN,2,4,4,15620.0517578125,21883.38671875,26084.32421875
P18206,P18206,VCL,Vinculin,VINC_HUMAN,6,6,6,10706.3115234375,19604.359375,17468.12109375
P18428,P18428,LBP,Lipopolysaccharide-binding protein,LBP_HUMAN,14,14,14,79446.3515625,52362.14453125,47578.55859375
P19021,P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase,AMD_HUMAN,1,1,1,4846.28857421875,3938.3056640625,4413.34521484375
P19320,P19320,VCAM1,Vascular cell adhesion protein 1,VCAM1_HUMAN,8,8,8,22481.9296875,23206.26953125,26795.2421875
P19652,P19652,ORM2,Alpha-1-acid glycoprotein 2,A1AG2_HUMAN,19,18,19,2367106.25,1705269.875,1930696.375
P19823,P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2_HUMAN,68,68,68,1431679.125,1492098.625,1528227
P19827,P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1_HUMAN,57,57,55,1826472.625,1711834.125,1873731.5
P20742,P20742,PZP,Pregnancy zone protein,PZP_HUMAN,54,21,55,278043.9375,14078.015625,303732.78125
