File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)Fuc(6),0,Complex/Hybrid,2864.0611,1,1,0.0843
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(8)HexNAc(2),0,Oligo-Mannose,1702.5813,2,2,0.0818
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4)Fuc(1),0,Complex/Hybrid,3663.2854,4,7,0.0783
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(10)HexNAc(6)NeuAc(1),0,Complex/Hybrid,3130.0998,1,1,0.0762
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2)Fuc(1),0,Complex/Hybrid,3081.0946,4,5,0.0752
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3)Fuc(2),0,Complex/Hybrid,3518.2479,4,6,0.0682
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1),0,Complex/Hybrid,2075.7298,5,5,0.0677
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(4),0,Complex/Hybrid,1784.6344,2,2,0.0668
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(7)NeuAc(3)Fuc(1),0,Complex/Hybrid,3251.1637,1,1,0.0633
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2221.7877,7,9,0.0623
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(2),0,Truncated,892.3172,2,2,0.0614
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2)Fuc(3),0,Complex/Hybrid,3373.2104,3,5,0.0607
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2100.7614,4,5,0.0556
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2221.7877,10,11,0.0556
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1710.5976,5,5,0.0551
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3)Fuc(1),0,Complex/Hybrid,3372.19,4,5,0.0511
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2424.867,4,6,0.0499
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2188.7774,4,4,0.0498
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(1)Fuc(2),0,Complex/Hybrid,2936.0571,3,4,0.0488
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1856.6555,4,4,0.0484
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(3),0,Complex/Hybrid,2716.9828,4,6,0.0483
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(8)HexNAc(7)NeuAc(4),0,Complex/Hybrid,3882.3597,1,2,0.048
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3)Fuc(3),0,Complex/Hybrid,3664.3058,1,1,0.0475
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1710.5976,8,8,0.0473
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2116.7563,2,2,0.0463
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,2018.7083,3,3,0.0451
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(4),0,Complex/Hybrid,1784.6344,3,3,0.0443
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(8)HexNAc(7)NeuAc(2),0,Complex/Hybrid,3300.1689,2,2,0.0432
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2100.7614,3,4,0.0432
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1856.6555,3,3,0.0423
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(4),0,Complex/Hybrid,2206.8131,6,7,0.0423
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(8)HexNAc(7)NeuAc(1),0,Complex/Hybrid,3009.0735,6,6,0.0413
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2116.7563,2,2,0.0411
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1856.6555,2,2,0.0406
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2100.7614,2,3,0.0406
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(10)HexNAc(6)NeuAc(1),0,Complex/Hybrid,3130.0998,1,1,0.0398
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(3),0,Complex/Hybrid,1095.3965,3,3,0.0397
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(7)Fuc(2),0,Complex/Hybrid,2199.8298,1,2,0.0387
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2424.867,5,6,0.0386
