Glycan_Composition	avg_pct_rel_abundance_Ti_IMAC_glycan	sd_pct_rel_abundance_Ti_IMAC_glycan	avg_pct_rel_abundance_PolyA_rep1_glycan	sd_pct_rel_abundance_PolyA_rep1_glycan	avg_pct_rel_abundance_PolyA_rep2_glycan	sd_pct_rel_abundance_PolyA_rep2_glycan
H(4)N(3)S(1)	0.295233333333333	0.0732333485055363	0.286366666666667	0.0343466640786749	0.522866666666667	0.155282849450071
H(4)N(4)	0.275666666666667	0.104586343914171	0.0224666666666667	0.000802080627701065	0.00253333333333333	0.00231156512634477
H(7)N(6)S(2)	0.244133333333333	0.0670534364021213	0.332833333333333	0.046947665898672	0.442433333333333	0.168451545951153
H(7)N(2)	0.197433333333333	0.0383001740640083	0.0951666666666667	0.00370720020140987	0.0197333333333333	0.0147703531891872
H(6)N(5)S(2)F(1)	0.1675	0.0573945119327623	0.570933333333333	0.0624789031060352	1.25223333333333	0.121718746844245
H(8)N(2)	0.1337	0.0681672208616429	0.349533333333333	0.00836440872586539	0.108466666666667	0.00712483917947159
H(4)N(3)	0.1343	0.0568960455567872	0.0589666666666667	0.020056004919558	0.0929333333333333	0.00228546129552292
H(7)N(6)S(4)F(1)	0.139233333333333	0.056188462635432	0.219533333333333	0.0385934364022347	0.611066666666667	0.0628826155096409
H(5)N(4)S(1)F(3)	0.130033333333333	0.0507202457933056	0.171633333333333	0.0906929067421115	0.0521666666666667	0.0239658785220432
H(5)N(3)S(1)	0.0878666666666667	0.063628164623328	0.3451	0.119153304612168	0.00163333333333333	5.77350269189625e-05
H(6)N(3)S(1)	0.133	0.0346277345490576	0.3855	0.0240806976643119	0.0194666666666667	0.00886923521693575
H(5)N(5)S(2)F(1)	0.127866666666667	0.0153010892858428	0.1005	0.0237682561413327	0.230033333333333	0.00420990894596704
H(4)N(3)S(1)F(1)	0.1156	0.0166303938618422	0.0822666666666667	0.00985410236060765	0.038	0.00445421149026402
H(6)N(5)S(2)F(3)	0.1108	0.0120950403058444	0.0366666666666667	0.0162641733061762	0.0401	0.0203472356844855
