RT	Window.Low	Window.High	204.087
0.0923212	615.53	620.532	0
0.0924876	620.532	625.534	0
0.0926815	625.534	630.536	0
0.0928704	630.537	635.539	128
0.0930367	635.539	640.541	0
0.0932256	640.541	645.543	0
0.0933896	645.543	650.546	0
0.0935544	650.546	655.548	0
0.0937435	655.548	660.55	0
0.0939095	660.55	665.552	0
0.0940733	665.552	670.555	0
0.0942623	670.555	675.557	0
0.0944867	675.557	680.559	0
0.094676	680.559	685.561	0
0.0948684	685.561	690.564	0
0.0950623	690.564	695.566	0
0.0952551	695.566	700.568	0
0.095444	700.568	705.571	0
0.0956329	705.571	710.573	0
0.0957969	710.573	715.575	0
0.095986	715.575	720.577	0
0.0961499	720.577	725.58	0
0.0963139	725.58	730.582	0
0.0964779	730.582	735.584	0
0.0966668	735.584	740.587	0
0.0968557	740.587	745.589	0
0.0970197	745.589	750.591	0
0.0972085	750.591	755.593	0
0.0973976	755.593	760.596	55.7212
0.0975865	760.596	765.598	0
0.0977755	765.598	770.6	0
0.0979393	770.6	775.602	0
0.0981284	775.602	780.605	0
0.0983172	780.605	785.607	0
0.0985313	785.607	790.609	0
0.0986957	790.609	795.612	0
0.0988872	795.612	800.614	0
0.0990548	800.614	805.616	0
0.0992484	805.616	810.618	0
0.0994373	810.618	815.621	0
0.0996013	815.621	820.623	0
0.0997905	820.623	825.625	0
0.0999795	825.625	830.627	0
0.100313	830.627	835.63	0
0.100509	835.63	840.632	162.108
0.100672	840.632	845.634	0
0.101669	845.634	850.637	0
0.101858	850.637	855.639	0
0.102022	855.639	860.641	0
0.102196	860.641	865.643	0
0.10236	865.643	870.646	0
0.102527	870.646	875.648	0
0.102694	875.648	880.65	0
0.10286	880.65	885.652	0
0.103052	885.652	890.655	0
0.103216	890.655	895.657	0
0.103405	895.657	900.659	0
0.103593	900.659	905.662	0
0.103757	905.662	910.664	121.922
0.103921	910.664	915.666	0
0.104114	915.666	920.668	0
0.104303	920.668	925.671	0
0.104491	925.671	930.673	0
