RT	Window.Low	Window.High	204.087
0.104479	985.698	990.7	69.33
0.104645	990.7	995.702	474.297
0.104809	995.702	1000.7	185.014
0.104981	1000.7	1005.71	555.422
0.105154	1005.71	1010.71	0
0.105337	1010.71	1015.71	130.953
0.105525	1015.71	1020.71	446.651
0.105701	1020.71	1025.72	221.776
0.105877	1025.72	1030.72	90.3882
0.10605	1030.72	1035.72	316.963
0.106223	1035.72	1040.72	366.282
0.106412	1040.72	1045.73	0
0.106585	1045.73	1050.73	470.23
0.106758	1050.73	1055.73	513.536
0.106949	1055.73	1060.73	0
0.107125	1060.73	1065.73	0
0.107298	1065.73	1070.74	476.591
0.107472	1070.74	1075.74	161.972
0.107645	1075.74	1080.74	374.297
0.107851	380.423	385.425	0
0.108017	385.425	390.427	0
0.108184	390.427	395.43	0
0.10835	395.43	400.432	70.6153
0.108523	400.432	405.434	0
0.108712	405.434	410.436	0
0.108901	410.436	415.439	0
0.109065	415.439	420.441	0
0.109239	420.441	425.443	0
0.109403	425.443	430.446	0
0.109569	430.446	435.448	0
0.109736	435.448	440.45	0
0.109903	440.45	445.452	0
0.110092	445.452	450.455	0
0.110255	450.455	455.457	0
0.110419	455.457	460.459	0
0.110594	460.459	465.461	0
0.110758	465.461	470.464	0
0.110949	470.464	475.466	0
0.111113	475.466	480.468	0
0.111277	480.468	485.471	0
0.112202	485.471	490.473	0
0.112366	490.473	495.475	0
0.11253	495.475	500.477	0
0.112694	500.477	505.48	0
0.112862	505.48	510.482	0
0.113028	510.482	515.484	0
0.113219	515.484	520.486	0
0.113413	520.486	525.489	0
0.113606	525.489	530.491	0
0.113795	530.491	535.493	0
0.113984	535.493	540.496	0
0.114148	540.496	545.498	0
0.114312	545.498	550.5	0
0.114501	550.5	555.502	0
0.114691	555.502	560.505	0
0.11488	560.505	565.507	0
0.115045	565.507	570.509	0
0.115234	570.509	575.511	0
0.115399	575.511	580.514	0
0.115588	580.514	585.516	0
0.115752	585.516	590.518	0
0.115941	590.518	595.521	0
0.11613	595.521	600.523	64.746
0.116294	600.523	605.525	0
0.116458	605.525	610.527	0
0.116622	610.527	615.53	0
0.116786	615.53	620.532	0
0.11695	620.532	625.534	0
0.11714	625.534	630.536	0
0.117354	630.537	635.539	0
0.117518	635.539	640.541	0
0.117709	640.541	645.543	0
0.117873	645.543	650.546	0
0.118038	650.546	655.548	0
0.118227	655.548	660.55	0
0.118401	660.55	665.552	170.969
0.118566	665.552	670.555	0
0.118758	670.555	675.557	171.574
0.118949	675.557	680.559	214.77
0.119138	680.559	685.561	0
0.119331	685.561	690.564	60.2672
0.11952	690.564	695.566	0
0.119709	695.566	700.568	0
0.119898	700.568	705.571	123.612
0.120087	705.571	710.573	0
0.120251	710.573	715.575	58.6949
0.12044	715.575	720.577	65.6054
0.120604	720.577	725.58	0
0.120768	725.58	730.582	0
0.120932	730.582	735.584	0
0.121121	735.584	740.587	0
0.12131	740.587	745.589	273.868
0.121642	745.589	750.591	0
0.121831	750.591	755.593	71.695
0.12202	755.593	760.596	0
0.122873	760.596	765.598	201.236
0.123062	765.598	770.6	101.866
0.123228	770.6	775.602	0
0.12342	775.602	780.605	0
0.123615	780.605	785.607	0
0.123804	785.607	790.609	149.547
0.12397	790.609	795.612	0
0.124159	795.612	800.614	0
0.124323	800.614	805.616	171.316
0.124512	805.616	810.618	0
0.124701	810.618	815.621	116.659
0.124865	815.621	820.623	178.556
0.125054	820.623	825.625	0
0.125269	825.625	830.627	0
0.125458	830.627	835.63	109.426
0.125649	835.63	840.632	78.8312
0.125819	840.632	845.634	471.315
0.125983	845.634	850.637	0
0.126173	850.637	855.639	0
0.126341	855.639	860.641	453.909
0.126507	860.641	865.643	179.641
0.126671	865.643	870.646	164.139
0.126835	870.646	875.648	0
0.126999	875.648	880.65	0
0.127163	880.65	885.652	0
0.127352	885.652	890.655	85.2418
0.127516	890.655	895.657	0
0.127705	895.657	900.659	267.895
0.127894	900.659	905.662	0
0.128057	905.662	910.664	94.7272
0.128232	910.664	915.666	664.705
0.128421	915.666	920.668	0
0.128612	920.668	925.671	209.502
0.128805	925.671	930.673	293.273
0.128973	930.673	935.675	196.291
0.129166	935.675	940.677	0
0.129355	940.677	945.68	242.138
0.129519	945.68	950.682	395.693
0.129708	950.682	955.684	93.5163
0.129874	955.684	960.687	146.397
0.130038	960.687	965.689	462.687
0.130202	965.689	970.691	187.703
0.130366	970.691	975.693	0
0.130555	975.693	980.696	0
0.130744	980.696	985.698	300.03
0.130908	985.698	990.7	194.474
0.131072	990.7	995.702	109.535
0.131236	995.702	1000.7	106.251
0.131413	1000.7	1005.71	102.598
0.131711	1005.71	1010.71	388.888
0.131884	1010.71	1015.71	432.311
0.132073	1015.71	1020.71	516.384
0.132948	1020.71	1025.72	250.178
0.133125	1025.72	1030.72	141.483
0.133297	1030.72	1035.72	418.047
0.13347	1035.72	1040.72	203.909
0.133693	1040.72	1045.73	0
0.133866	1045.73	1050.73	87.2096
0.13404	1050.73	1055.73	127.472
0.134229	1055.73	1060.73	511.905
0.134402	1060.73	1065.73	174.144
0.134575	1065.73	1070.74	0
0.134753	1070.74	1075.74	465.816
0.134926	1075.74	1080.74	93.0449
0.135132	380.423	385.425	0
0.135296	385.425	390.427	284.049
0.135462	390.427	395.43	0
0.135629	395.43	400.432	0
0.135795	400.432	405.434	0
0.135989	405.434	410.436	78.5064
0.136177	410.436	415.439	0
0.136345	415.439	420.441	0
0.136516	420.441	425.443	0
0.136682	425.443	430.446	0
0.136849	430.446	435.448	0
0.137014	435.448	440.45	0
0.137177	440.45	445.452	105.873
0.13737	445.452	450.455	0
0.137533	450.455	455.457	0
0.137698	455.457	460.459	0
0.137861	460.459	465.461	0
0.138025	465.461	470.464	0
0.138214	470.464	475.466	0
0.138379	475.466	480.468	0
0.138542	480.468	485.471	0
0.138731	485.471	490.473	0
0.138895	490.473	495.475	0
0.139059	495.475	500.477	0
0.139223	500.477	505.48	0
0.139387	505.48	510.482	0
0.139551	510.482	515.484	0
0.13974	515.484	520.486	0
0.139929	520.486	525.489	0
0.140118	525.489	530.491	0
0.140332	530.491	535.493	0
0.140521	535.493	540.496	0
0.140688	540.496	545.498	0
0.140854	545.498	550.5	0
0.141048	550.5	555.502	0
0.141237	555.502	560.505	0
0.141426	560.505	565.507	0
0.14159	565.507	570.509	0
0.141779	570.509	575.511	0
0.142078	575.511	580.514	0
0.142293	580.514	585.516	0
0.143161	585.516	590.518	0
0.143353	590.518	595.521	0
0.143544	595.521	600.523	115.046
0.143708	600.523	605.525	55.1936
0.143872	605.525	610.527	0
0.144036	610.527	615.53	0
0.144211	615.53	620.532	0
0.144375	620.532	625.534	0
0.144566	625.534	630.536	0
0.144758	630.537	635.539	0
0.144922	635.539	640.541	0
0.145111	640.541	645.543	0
0.145277	645.543	650.546	0
0.145445	650.546	655.548	0
0.145634	655.548	660.55	0
0.145798	660.55	665.552	67.2383
0.145965	665.552	670.555	0
0.146154	670.555	675.557	0
0.146343	675.557	680.559	0
0.146532	680.559	685.561	0
0.146721	685.561	690.564	0
0.14691	690.564	695.566	339.126
0.147099	695.566	700.568	124.119
0.147288	700.568	705.571	59.8037
0.147477	705.571	710.573	0
0.147641	710.573	715.575	0
0.14783	715.575	720.577	84.0226
0.147994	720.577	725.58	122.455
0.148158	725.58	730.582	0
0.148322	730.582	735.584	0
0.148511	735.584	740.587	0
0.1487	740.587	745.589	0
0.148863	745.589	750.591	80.8724
0.149052	750.591	755.593	0
0.149241	755.593	760.596	0
0.14943	760.596	765.598	0
0.149621	765.598	770.6	0
0.149787	770.6	775.602	77.3694
0.149976	775.602	780.605	0
0.150166	780.605	785.607	0
0.150355	785.607	790.609	0
0.150521	790.609	795.612	0
0.15071	795.612	800.614	267.214
0.150874	800.614	805.616	0
0.151063	805.616	810.618	0
0.151252	810.618	815.621	81.7545
0.151416	815.621	820.623	205.146
0.151606	820.623	825.625	208.267
0.151798	825.625	830.627	0
0.151987	830.627	835.63	0
0.152176	835.63	840.632	167.179
0.152474	840.632	845.634	90.5752
0.152638	845.634	850.637	0
0.153492	850.637	855.639	170.817
0.153656	855.639	860.641	0
0.15382	860.641	865.643	0
0.153984	865.643	870.646	0
0.154148	870.646	875.648	157.889
0.154312	875.648	880.65	159.939
0.154476	880.65	885.652	239.114
0.15469	885.652	890.655	0
0.154854	890.655	895.657	85.4844
0.155046	895.657	900.659	0
0.155238	900.659	905.662	274.192
0.155402	905.662	910.664	0
0.155566	910.664	915.666	491.043
0.155759	915.666	920.668	323.943
0.155947	920.668	925.671	96.5377
0.156138	925.671	930.673	379.586
0.156304	930.673	935.675	87.1349
0.156493	935.675	940.677	109.451
0.156681	940.677	945.68	121.599
0.156856	945.68	950.682	258.318
