"ID108129_02","ID108129_03","ID108129_04","IDPhos_01","IDPhos_02","IDPhos_03"
151.992,130.949,101.034,0,0,0
0,514.468,53.7049,0,95.6659,0
0,0,218.298,0,0,0
0,211.433,448.113,142.995,0,55.7212
0,0,227.244,123.082,0,0
0,459.605,108.249,0,0,0
112.613,322.854,0,0,0,0
188.687,0,0,0,0,0
0,0,0,0,0,0
0,110.888,250.05,0,0,0
139.593,275.1,351.968,0,0,0
0,134.989,202.446,0,0,0
0,307.058,117.113,0,0,0
0,703.054,332.008,0,0,0
0,0,499.771,0,0,0
0,381.179,201.317,0,0,0
0,396.298,0,0,0,0
0,190.223,528.101,0,0,0
94.8343,311.225,58.7031,0,0,0
160.166,567.519,144.23,0,0,162.108
498.768,567.216,654.087,0,99.6212,0
0,531.128,675.861,0,0,0
0,277.345,296.492,0,0,0
0,544.308,287.779,0,0,0
0,210.241,138.143,0,0,0
242.491,745.972,472.274,0,0,0
0,439.443,744.309,0,0,0
67.6163,525.528,414.443,0,0,0
84.7878,409.359,522.458,0,0,0
213.459,356.983,175.68,0,0,0
0,549.014,315.526,0,0,0
0,563.663,649.568,0,0,0
0,279.185,365.552,0,0,0
470.013,855.698,633.297,0,0,121.922
243.928,0,172.733,0,0,0
0,0,433.067,0,0,0
366.56,571.87,98.8391,0,0,0
107.511,0,0,0,0,0
143.516,203.908,99.0662,0,0,0
113.03,0,173.438,91.3972,0,137.563
62.0078,356.983,419.584,0,89.189,0
219.81,476.764,507.405,0,0,0
245.692,307.188,194.658,0,0,0
192.239,338.722,492.695,0,0,86.5176
356.428,444.231,264.19,0,0,0
144.381,312.31,275.884,0,0,0
0,94.3805,356,0,0,121.271
128.857,62.8784,277.673,153.683,0,0
0,511.702,282.033,0,0,242.592
69.33,333.595,385.663,0,99.0933,65.2978
474.297,517.342,84.6364,0,0,0
185.014,548.794,170.54,0,0,0
555.422,227.925,745.935,0,0,282.36
0,712.686,1368.68,151.311,0,87.1477
130.953,304.211,81.6033,0,0,0
446.651,749.038,0,0,0,122.43
221.776,750.905,405.396,0,0,229.336
90.3882,0,146.069,110.787,0,326.993
316.963,330.776,298.742,0,0,74.4712
366.282,650.911,0,0,0,226.413
0,145.913,218.004,0,0,294.777
470.23,421.088,231.962,0,0,0
513.536,87.7898,303.933,0,0,0
0,163.811,360.897,184.39,0,327.598
0,86.2405,359.635,0,0,0
476.591,90.7011,665.15,0,0,150.833
161.972,179.818,208.192,0,87.0155,0
374.297,437.603,280.271,0,355.924,0
0,145.383,0,0,0,253.328
0,114.732,0,0,0,0
0,0,0,0,213.697,0
