,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P67936,7312.190918,13162.58789,11231.67773,22995.28711,15180.9502,35103.58203,35756.26172,15423.98535,24225.93555,24688.58594,37652.60938,39246.95703,44918.14844,53620.48438,19396.20898,21082.43945,30926.26953,25280.73633,41787.35156,49887.76563,14748.8623,22367.50391,27280.36133,32433.56055,35599.94141,44713.4375,53001.21094,32347.30664,31406.15625,30453.95313
P68363,7599.510742,8992.415039,4314.761719,7975.165039,4923.578125,5834.248535,9117.21582,15394.46484,13137.49414,9333.194336,7518.436035,8243.453125,7683.829102,9011.107422,8279.063477,12229.97168,8538.859375,8374.827148,6672.657227,10970.17383,12799.49023,9000.061523,9135.80957,7923.34082,9951.046875,8268.474609,9172.816406,9896.454102,8231.785156,11699.02734
P68366,15373.84473,13322.3623,14642.80469,15926.09375,12334.66992,15354.52246,19152.91016,21670.94336,21169.41016,24907.57617,18694.37891,20532.56836,21564.01172,23835.51953,23031.88281,24140.35742,15032.75684,17464.70898,18403.17188,23266.06641,26179.79297,21371.35352,31062.98438,21757.38086,24716.78711,22842.50391,25000.15234,21536.6543,21585.16797,23944.5625
P68402,NA,NA,NA,2514.846924,1382.977173,2550.309082,5235.753418,NA,820.0606689,1702.001465,2077.086182,2501.911621,4934.770508,4899.097656,2274.798584,2198.662109,3136.139893,4831.230469,6875.026367,7918.116211,NA,1424.748901,2500.477051,2961.714355,2834.61499,3740.648193,NA,2842.008057,3099.276367,3383.96875
P68431;P84243;Q16695;Q71DI3,899.4299316,1172.574707,NA,13075.57422,7882.464355,26926.01563,38498.36719,NA,3801.267822,1574.232056,7793.150391,9630.668945,33550.26172,27168.85156,2769.874512,NA,9591.498047,5850.244141,27311.21289,28212.76758,NA,1201.362305,1887.046143,9768.342773,8191.02002,21942.77734,37772.64844,14285.62598,13593.33594,14440.24902
P68871,2819786,6365437.5,7747481,15931132,9983786,21396222,25412972,4515313,7094700.5,6342512,9827986,12319687,26272362,23718428,7403923,7822231,13295929,17846594,32335010,36449968,5019029.5,3918406.75,6228988.5,10264994,7823784,16505220,18096042,15474300,15374431,15265241
P69891,61.46876526,7891.042969,16710.48242,45140.53516,20755.54492,59408.24219,83757.84375,41634.16016,63657.03906,62623.09766,106384.3047,156852.75,305107.6875,277311.7188,33226.24219,45663.69141,97888.07813,123117.7656,251020.7031,300873.5,484.2056885,5443.220703,1013.831543,6882.878418,20676.49219,30235.12305,36708.58984,103484.6875,102156.4219,104361.7188
P69892,NA,449.7649231,490.7471313,1192.659302,555.6445313,9363.817383,17378.18359,11149.68164,24630.73242,14129.41895,20377.48828,52254.24219,120862.8906,91437.32031,12901.5332,18071.46289,32960.86719,37215.69531,101568.7031,115246.3984,NA,NA,NA,NA,378.0287781,946.1185913,7449.513672,27413.51367,29194.875,38896.55078
P69905,2403758.75,5042757,6145580.5,11793394,7826340.5,15397061,17977246,3876676.5,5579392,4968832.5,7628161.5,9588032,18531386,17249880,5984135,5955359.5,10021249,13841119,22111902,25956026,4083516,3149657.75,4924721.5,7930415.5,6108453.5,13094683,15371042,10938504,10974356,10678599
P78417,5532.171387,8783.44043,10697.51563,12938.2959,10930.81641,17343.84766,19308.8418,5231.438477,6182.686523,9525.567383,9442.912109,11991.65527,16833.13281,14522.09375,12059.66699,13879.55273,16269.13184,17297.45313,26422.80469,29372.76563,9068.855469,8538.951172,14399.46875,13960.56934,12545.4209,16848.79883,21283.31055,10653.97461,14266.10254,13144.28516
P78556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3971.142578,NA,NA,NA,NA,NA,NA,NA,NA,NA,4177.147461,7579.123047,4411.103027,7748.557129,NA,NA,NA
P80108,142162.5313,151068.9063,152417.5781,148503.4531,149115.7344,145646.5156,152986.5313,172579.1719,174109.4375,172075.3906,173612.5938,173030.9531,166879.3906,171514.7813,215565.7813,213054.3906,212502.5313,214169.3125,224114.6875,223977.9219,191207.9375,197380.6563,190438.2031,192372.5313,189584.5156,181463.5156,188524.2344,186822.5,191232.6406,191280.5781
P80188,9808.211914,20571.03516,26372.25195,20316.9082,25966.58984,23865.78906,27823.75781,10579.91504,13969.14258,26902.50195,18480.24414,27534.1875,26908.13086,31181.08789,19871.63477,23538.22266,19737.93359,27472.20117,18787.5,36396.23438,8167.315918,20647.30664,32637.23047,23422.79883,33266.82031,25338.54688,39371.33203,21442.07031,22189.80273,23258.83203
P80748,1360295.875,1308807.875,1391846.5,1336248,1387136.875,1258776.125,1184731.625,2182614,2143988.75,2150674.5,2186508.5,2097574.25,1957149.375,2012520.625,1645352.625,1598573.375,1650797,1731532.125,1466837.875,1612468.375,1335721.25,1420111,1301869.75,1311172.25,1381925.375,1185520.875,1249249.875,1634298.375,1469533.5,1477901.125
P98160,19089.70508,19066.68555,19008.41797,19412.60938,18092.66992,16556.50586,12617.5498,24569.31641,23569.69336,23342.99219,24573.74805,23022.39453,23566.82422,22800.30273,26176.74414,23334.42578,23829.45703,24455.64453,20497.79102,16999.21875,18118.17383,18683.48828,18156.68359,17729.55469,18069.17188,17255.90039,16041.9834,16366.31055,20249.5,17955.73828
Q01459,7240.92334,14465.70605,10050.91504,11112.67676,9428.960938,1412.459717,1518.761719,7893.394043,1737.811157,13463.08008,8239.499023,16995.81641,3231.174072,2910.992432,11432.61035,3884.259766,8558.829102,7482.046387,2048.136963,NA,5760.990723,5895.244629,5038.517578,11420.0127,6180.243164,5200.526855,4458.464355,8923.486328,5613.074707,5039.277344
Q01518,8669.014648,14838.9834,17525.94727,27171.42773,22050.55859,37751.55469,44704.17578,14853.09863,32071.67578,37522.19141,43673.61719,46169.21875,55529.53516,54496.76563,29309.49219,34147.02734,30935.71289,31623.39648,42671,52330.25,15107.41504,32204.59961,43660.61719,35503.77734,39991.91406,46912.21875,59635.67188,35047.99219,36266.23047,34665.38281
Q02094,NA,NA,NA,1455.946777,NA,19111.82422,17843.11133,NA,NA,NA,NA,NA,20336.7832,16686.99023,NA,NA,NA,2303.019531,24467.56055,14956.95898,NA,NA,NA,NA,NA,15638.22656,9658.234375,7095.730957,5491.112793,7819.128906
Q02985,781615.4375,834083.5,795716.25,774611.625,824077.5625,722746.75,651698.0625,516656.6875,565353.5625,532595.0625,521580.9375,505838,478007.1875,515042.7188,821185.1875,883914,821074.4375,782795.9375,611892.6875,584370.625,716698.625,713188.6875,726283.25,698108.5,645702.6875,687289.6875,668806.8125,614147.25,654574.875,594419.9375
Q03591,1032301.75,1013260.438,998900.875,963269.5,959695.1875,915365.8125,769167.375,1010544.938,998493.6875,974160.375,934906,950085.75,896895.9375,915100.4375,1081579.5,1095028.625,1056368.875,1015450.875,890860.75,716790.75,878287,802221.75,839637.125,665303.8125,720648.1875,664190.3125,685959.75,864419.4375,849317.1875,840080.6875
Q04756,91689.875,85271.11719,87728.33594,80270.57031,89777.17969,82379.71875,64968.11328,133053.8438,127320.9531,126656.4609,126357.7188,121777.8281,111864.2031,113607.1328,113789.2891,111322.8828,112905.3438,114320.6406,89299.72656,80831.625,133874.3438,129689.3672,128923.1875,125753.9219,126813.9219,125503.4531,114831.6484,95005.52344,91716.28125,89417.51563
Q06033,273741.2813,270362,270454.4375,269141.25,265550.9688,264782.0625,273616.5313,279192.9688,274781.75,269272.9688,274845.1563,261602.5625,271562.1563,271276.875,226786.9219,227310.75,223062,222089.9219,239863.7813,251414.0469,325821.1875,323602.0625,318534.0938,317971,314070.4688,304755.6563,311720.0625,270998.4688,275812.9375,272464.5625
Q06830,28385.52734,81482.02344,42178.30859,115862.2891,72221.50781,176647.8906,189824.8281,49292.40625,70520.51563,69066.42969,96889.3125,133094.2344,254843.3906,223385.0781,71403.67969,72380.23438,135909.1875,166465.0938,280769.75,295342.5,51906.96094,41892.32813,94996.13281,102473.5391,103240.4453,200972.5625,226464.0625,150053.4219,138442.5781,135772.1406
Q07507,7410.923828,5389.55127,7021.746582,4611.61084,6223.599609,6431.601563,3108.043701,9129.039063,6833.80957,9071.598633,5984.555664,7141.203125,NA,5503.048828,10197.22461,7829.375488,9228.460938,9035.31543,3826.245361,NA,11080.44336,8857.412109,7812.195801,6015.740234,6563.383789,6987.723145,6595.32373,6846.463867,6084.294922,4787.23291
Q08380,49349.00781,48154.24609,48216.43359,46900.77734,49460.82031,46185.14063,44105.07422,95955.10156,96289.53125,99155.42188,99269.9375,95524.22656,94292.70313,96865.15625,66491.82031,65983.82031,64564.10156,64547.28125,61703.03516,67137.23438,179464.9375,173545.0156,170832.0156,172420.0156,173876.6406,180137.1094,175580.1719,99001.01563,96521.19531,97516.97656
Q08830,9990.936523,9307.776367,8247.098633,7611.765137,7944.941406,5540.552246,8114.35791,12953.71191,11306.6377,12018.78516,12091.37891,11707.76172,9776.896484,10568.5752,2827.713867,NA,2265.686279,2923.875977,NA,NA,3641.765869,4491.907227,5410.0625,5486.817383,4676.890625,3932.546143,2813.450195,7338.888184,5108.300293,5668.380859
Q10588,5643.620605,NA,4519.257813,9030.611328,6746.812988,5317.342773,8602.717773,11446.12305,11033.71973,13378.70605,11938.82324,11682.79688,13354.37891,13127.25098,15044.80762,14431.27734,13754.46973,10276.23828,12310.38086,9625.458984,9546.625977,8970.542969,10850.6582,13003.65527,13550.48633,11566.0498,7547.594727,7185.651367,11769.08203,9993.268555
Q12805,54418.30859,53968.13672,52656.16406,43909.82422,47006.07813,32239.52148,24526.69336,59571.27734,57680.49219,57937.39063,53422.41406,52829.41406,36808.46484,39017.8125,61777.61328,63521.23828,60452.00781,57491.38672,29148.51172,14306.4873,51942.35156,50853.07031,52633.84766,49403.99219,52244.33203,40342.63281,36404.36328,29087.04883,25696.88867,28109.71289
Q12860,13148.78711,9060.918945,7483.650391,12202.82813,11020.55371,11926.47168,9070.817383,15209.59961,18142.68359,15428.00684,24304.64844,14957.87695,20873.36328,19753.58203,19157.79102,15095.8252,13252.36133,17445.56641,21467.15039,19475.58398,20212.86719,13092.74414,18988.59961,14769.92969,12407.03027,16272.61426,15651.63867,13542.53223,16601.92969,16070.21289
Q12907,21701.27539,19801.73633,21350.55859,21120.53125,20703.33398,20762.35547,20814.35742,19343.4707,20953.40625,24438.99805,24551.63867,19144.16797,20765.5625,21319.83203,14041.58984,16787.11914,16027.81934,20146.875,19516.06055,18351.72656,13611.52051,15130.01563,13695.27148,15118.4873,14461.56055,13511.06934,16215.43555,21299.21289,18550.28711,19118.44727
Q12913,14885.1748,13269.5332,11525.01074,11332.35352,8964.036133,6335.146484,9292.629883,16871.48047,10613.30273,14969.65234,12636.93066,11807.26563,12043.61816,10538.20996,16585.80859,15973.03516,14109.84473,16000.6084,9738.331055,9472.144531,14396.42578,9876.943359,14449.98145,10893.9043,15362.56348,10701.56543,8576.511719,11242.93652,9629.663086,10145.35352
Q13093,4691.583496,3689.536133,4470.883789,3650.149658,4330.881836,5366.958008,4118.874512,8512.291016,6812.568848,8010.498535,6321.733887,8313.004883,8900.62207,7471.783691,6547.541992,6117.462891,5753.661133,6765.662109,7639.209473,7376.825684,6448.465332,5379.180664,4991.883789,4728.292969,4882.166504,6216.069336,6633.135742,6921.389648,7288.686523,6785.845703
Q13103,39404.62891,34811.52344,36114.87109,37651.95703,38105.03906,34867.99219,32625.56055,36029.42188,39014.95703,36341.19141,33194.55859,34376.36328,38053.90234,27482.60547,35951.53516,38269.84766,37382.66016,33685.87109,29510.0918,24648.07813,39211.27344,38660.99219,38499.26563,38316.74219,37708.72656,27871.61914,34267.44531,38106.03516,35663.73438,35907.42578
Q13201,14632.63672,21853.81641,28534.11523,24460.86328,32049.90039,24037.34766,25769.1875,14922.68457,25625.75195,32486.9668,31246.11523,42320.88281,29528.2207,44049.39844,36893.29688,38424.64453,35882.68359,36479.27344,30332.9375,43938.66406,16569.42773,22511.00391,30005.20898,24006.45117,33408.19141,27013.84375,34402.35938,29432.70898,30165.00391,29331.58398
Q13228,3614.652344,6573.135254,7842.257813,18110.35352,9333.628906,20832.90039,29689.54297,3625.604736,4814.84668,5851.61377,7537.635254,11633.77734,22803.27539,20882.56836,7009.299805,5982.635254,12017.14551,17129.74414,31080.62305,34513.78906,5197.047852,4252.495117,6546.637207,9580.662109,7869.669434,20157.41992,21077.38086,13652.65137,14466.34473,13745.55176
Q13404;Q15819,NA,NA,918.7766113,4850.457031,1952.905151,13289.50781,13385.50879,NA,NA,1985.843018,4651.897461,4404.269531,12446.58887,8349.461914,NA,NA,3109.661377,5107.502441,16867.86914,19259.0957,NA,NA,3443.682617,3611.869141,1176.68335,10541.8623,12879.72949,6500.713379,6627.247559,1447.165527
Q13418,13607.28516,15183.58984,15341.82031,10948.27051,13472.79492,10898.54688,12287.56641,17573.57227,17354.64844,21071.21875,15937.80664,16861.05273,12401.18164,14601.71094,17452.60352,19984.86523,13885.7793,14476.31348,9228.25,9692.916016,18517.14648,19604.53125,22788.77148,16778.42969,21605.73242,12550.10059,19866.55859,13673.625,14599.45996,14649.60645
Q13642,1942.627319,NA,NA,4319.907715,4447.79541,NA,NA,1870.402466,5093.824707,10345.75195,9081.083008,10453.31738,8290.230469,11099.52539,4584.956055,6828.645508,5428.180176,8338.275391,NA,NA,1910.331909,7618.524414,7640.230469,6992.937988,9776.546875,6523.783691,10117.65039,4654.706055,5340.333008,6649.013184
Q13790,115960.2813,128960.25,126600.0313,144044.0156,142399.0469,133566.2656,136248.7656,160277.8281,172755,156152.1406,166227.5,199794.25,177421.8125,209553.8281,138894.5313,145380.7344,148056.7344,173925.7656,150564.8281,123079.1172,134333.2031,148751.2344,134874.5625,146166.3594,128405.8516,130948.3516,123942.7891,185953.4844,180946.1719,173626.2344
Q13822,7821.791504,7660.183105,7126.932129,7538.816895,8494.245117,8049.889648,7126.533203,12302.6084,14819.35254,14081.83691,16071.35156,12797.36035,12348.62793,14272.66797,11203.00293,10580.26758,10693.90918,11440.97852,10386.82324,9848.157227,7618.160156,8078.164551,7106.721191,7637.245605,7976.525391,7621.096191,8535.474609,10468.67969,10509.32715,10528.42285
Q14118,15022.1123,NA,12885.55566,20136.61914,NA,NA,NA,18479.46875,16793.03711,16237.08496,15858.3916,21122.96094,10715.76074,NA,19591.375,12304.30664,14217.3252,13781.49707,NA,NA,16879.8418,15894.54102,14790.76563,9412.583984,13179.56543,NA,7549.223145,NA,9505.583008,8297.727539
Q14126,10699.33496,9832.880859,8565.226563,7477.722168,12097.75879,NA,4924.753418,13045.97168,15477.2666,12032.53125,11282.50293,12392.64941,10460.08008,7175.213379,13161.25684,13136.5293,9800.429688,6414.889648,6756.520996,4334.303223,10212.89355,12623.3252,13143.04492,13639.64941,13300.17969,9525.170898,7594.090332,3338.269287,6201.835938,NA
Q14515,5363.741699,5321.930664,4504.109863,4063.253174,5383.750977,6298.038086,4356.86377,7894.858398,7411.563477,6954.915039,6146.751465,5794.57373,4520.498535,6067.73291,4311.530273,5611.342285,5404.433105,4460.523926,3111.386963,3866.458496,5259.83252,5859.039551,3854.203857,5726.476074,5596.182129,5443.860352,4744.060059,4741.908203,4006.018555,4275.046387
Q14520,184046.5156,181713.4531,176221.9375,179671.6406,177745.7188,162151.3594,142197.125,157690.1719,156346.7656,155197.4375,153769.0156,148660.5625,142264.1875,144957.5313,178825.8906,174378.5,167461.3125,168923.1719,151433.2344,128854.9219,219073.4531,210554.2656,208558.3281,200456.0625,199965.4844,198488.9531,201024.7969,152296.3125,142069.5313,148265.6406
Q14624,1864794,1862015.125,1854480.25,1841612,1868223.375,1869368.5,1954734.625,1530230.625,1538568.125,1532739.75,1520904,1522858.125,1548124,1527599.625,1723754.375,1722753.375,1715630,1723687,1843062.25,1948663.5,1844634.875,1805880.375,1800874.625,1808640.75,1807797.75,1788026.25,1795909.5,1762703.75,1787542.625,1787187.5
Q14667,35684.53906,35698.01563,36082.47656,34184,34551.28125,37745.33984,43886.78906,NA,7275.32373,1872.818359,3167.863281,3017.550781,5243.926758,4294.006348,NA,NA,NA,NA,NA,NA,6860.029297,4866.416992,6724.827148,4622.262695,8467.865234,7228.265137,NA,14901.39258,19500.54102,15067.74219
Q14766,5284.415039,9121.556641,10769.00195,9581.620117,9334.726563,10723.52441,7551.662598,6130.558594,12703.06348,17525.25391,13082.26758,18379.41992,11210.24023,15064.07715,16323.86719,15750.05566,16061.16895,12837.19238,10222.92871,8707.473633,13493.40527,18248.97266,24563.74805,18765.02539,24543.83789,17336.05859,21545.54688,8633.796875,10845.33984,9987.962891
Q15063,8209.676758,8350.103516,5932.545898,6083.81543,6374.374023,5779.755859,5724.114258,11675.18359,10252.38379,11441.79004,11013.25684,10463.60156,8317.212891,8056.888672,15087.9375,12455.1582,11723.78516,12319.52148,14045.49219,15289.24902,8999.831055,5773.194824,6755.583496,4462,6788.184082,7394.391602,6653.993652,8237.557617,7980.118652,7664.500977
Q15113,16452.57617,16724.27148,18323.43164,17959.49219,17067.90234,17393.44727,11910.25684,20711.3457,19995.8125,19965.50391,20789.70508,21190.3418,17727.51563,18581.48047,23156.56055,22135.04297,20759.67578,20434.68359,16585.71484,13763.87988,23329.44336,22468.75977,20013.58203,20489.23633,20401.27734,19993.58789,21180.13867,18319.5625,17104.41992,17031.24805
Q15166,35639.10156,36728.73438,35516.46875,32865.4375,33628.51953,31859.52148,36131.73438,55890.46875,53351.88281,52920.375,54601.64063,53035.16797,54506.17188,53141.30859,35411.38672,35499,35089.69922,33487.19922,31579.48828,37968.98047,49813.82422,47796.20313,45366.08984,49148.64844,41672.87891,42724.22656,43625.14844,39000.45703,40492.26563,41258.02344
Q15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.446268082,NA,NA,26310.73047,29184.36523,25885.4707,31146.0332,23833.66406,19411.89453,24766.23828,6141.946777,8686.952148,4901.201172
Q15404,9936.59375,13105.56445,16520.22266,22028.43945,14673.00879,27054.53906,30892.31836,19303.06836,23880.14063,28701.78906,29757.74805,32729.65039,21184.26563,39944.35547,11524.55273,17157.20313,16848.94336,17547.53125,23826.84766,23988.62109,17978.72266,25393.9375,29341.97266,27771.99023,29259.35742,25243.25586,39172.82422,28071.77734,29093.80469,23693.84766
Q15485,56139.08984,60724.40234,57514.78906,51072.73438,55263.76563,60373.61328,62220.84375,60845.04688,59064.10938,62068.87109,62999.28125,60271.625,62610.92578,61845.75,58087.41797,57071.98047,55108.90625,54525.92188,61301.40625,60901.34766,57952.71875,60234.06641,57159.23828,57234.86719,53560.67969,55099.85938,56289.12109,57966.10547,58691.20313,61520.09375
Q15582,57957.5,52857.28125,51910.67969,52428.23047,55415.39844,56520.12109,49706.19141,56031.5625,54824.71094,49173.39063,49360.70313,49263.91016,51662.43359,45566.18359,60394.69141,58266.10547,56299.55078,55682.83203,57087.75391,50074.38281,58347.94531,58864.55469,56672.03516,57805.22656,57311.25,59919.25,54185.93359,52158,50651.80469,50757.17188
Q15848,23563.91016,26414.52148,24923.93164,22707.38086,21062.23047,30822.34961,31298.83398,31571.38086,32225.85547,31145.33203,31803.88672,30903.23633,39080.68359,32498.13281,33535.25781,34360.69141,34391.31641,35379.32813,43994.40234,33624.08984,32134.91211,30359.97461,30922.04297,31046.62695,31073.42578,32145.39453,28925.80078,42145.33984,34603.14063,39605.39844
Q15942,5433.730957,7602.958008,7610.880371,8879.694336,8943.441406,11693.98438,9639.243164,12452.1875,15158.10254,17930.54492,17817.5332,18111.51172,15054.37012,19758.20898,13969.11816,16565.47266,15184.57813,12749.33008,11149.21387,12301.10352,13365.24805,16299.03906,19736,15952.41992,19928.51563,18898.5,20435.82031,14720.78711,13198.10352,12863.05176
Q16570,NA,NA,NA,3759.218506,1084.081055,38552.35156,30136.9043,NA,NA,NA,NA,NA,23397.93945,25557.52539,NA,NA,4836.053223,6012.300781,39502.83203,29522.04883,NA,NA,NA,NA,NA,23897.69141,19186.34961,10470.04395,12562.95215,12597.30469
Q16610,201773.2031,207616.5313,201143.7031,196280.8594,193187.75,176116.4063,141292.7188,185340.2188,191534.3281,190362.7656,188014.125,177849.0469,162582.7656,155532.0938,236634.0313,226107.7344,229411.4531,204680,183902.4063,127251.6406,233155.2188,244181.6094,254357.0469,237664.75,237162.7813,222903.4219,210128.0313,165239.2344,170861.7969,165953.2969
Q16627,4776.23291,9692.175781,10186.5791,2735.282959,2378.684326,3530.32251,NA,12048.61328,8327.474609,6942.508789,8884.869141,8886.288086,5106.84082,7184.826172,7540.935059,5179.797852,5194.388184,6718.036133,NA,NA,8266.272461,7344.836426,9556.432617,7056.73584,9959.178711,6984.654785,6410.058105,NA,7176.013672,NA
Q3V5L5,22669.11133,20797.14648,20749.875,23111.47852,22408.41211,23804.05859,22620.00977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9626.31543,8657.861328,11441.26758
Q3ZCW2,NA,254.7241669,1067.692627,1194.894287,731.3165894,1927.449829,1145.058472,318.552002,1273.824829,1405.152466,695.4077148,2391.759277,1696.82019,743.3497925,1268.994141,666.7457275,511.4667053,1958.852173,2240.319824,794.1166992,274.0507813,1380.296997,1596.951294,1687.851563,1380.738281,2129.37207,2880.370361,1430.395264,314.3681335,1447.190063
Q562R1,12.68503284,NA,NA,11.24431705,11.85452461,1477.827881,25803.45117,28557.92188,29302.58984,33922.65625,29383.67188,29837.95508,36465.72656,39094.60156,29217.22852,27236.27539,27204.82227,29995.22656,32635.82227,31968.27734,27981.36719,28313.24609,33026.32422,25717.89648,32301,26670.32422,32504.90039,31071.74414,31202.64844,24958.79883
Q5JTD0,42122.94141,35608.26563,47678.85938,55077.5625,39198.50391,63917.98438,30306.25586,23549.15625,57362.54688,46086.67578,20171.5918,33507.53125,34614.89063,39283.07813,41408.62109,30480.55078,45374.16016,43227.29688,47503.58594,57633.28516,NA,NA,NA,NA,NA,NA,NA,34553.51953,30857.46289,24790.63672
Q5SZK8,197369.7031,189607.3438,185084.6719,190860.1406,179925.5313,184078.2188,216011.1719,103124.3516,102051.7891,103576.9453,94026.97656,105551.9766,99885.85938,102496.3594,189154.5156,195432.8125,190088.7969,190105.4688,210518.9688,219807.5938,143306.75,138682.7344,141832.4844,132813.5469,146704.9063,145427.4531,140776.7031,169531.4844,171224.0625,167398.0156
Q6EMK4,47865.85547,47679.33594,46354.03125,41192.76563,43627.52734,42918.29688,43249.83594,56324.38281,51677.58203,54801.52734,55449.39063,52796.71094,52964.35156,53941.25,54496.28906,53514.23047,54202.08594,54518.25391,53124.69141,57930.01172,53517.89844,53884.94922,51796.19531,51094.125,52319.27734,50411.89063,52015.73828,52674.17188,49911.28906,50844.83203
Q6Q788,21010.15234,14700.75684,17225.58203,13598.58496,14612.20898,15548.3916,17471.81055,29931.38477,27430.03125,27882.2168,29409.50586,25783.67969,31235.20313,27546.00391,21790.54688,25280.01367,15089.99121,22219.1875,22192.45508,55486.59375,21114.31836,20987.88477,19224.39258,20154.85156,20999.77734,18386.42773,18421.02539,17943,20229.19727,24108.31055
Q6UX71,2639.576416,2374.353027,2579.570313,2887.80249,2429.265625,2680.216064,3186.264648,3442.285645,2696.288086,3425.437744,3105.237549,2130.270508,2969.685547,1937.894043,4353.041016,3966.13501,3307.964111,4713.544922,3982.830322,3758.432861,3607.100586,4547.538086,4062.275391,3632.817383,2949.574707,4373.250977,3414.762939,4444.395508,4054.718994,4101.873047
Q6UXB8,16521.91602,18139.75781,17828.88477,17346.59375,18959.60352,16140.2002,20819.54102,32016.15234,28936.44727,31406.06055,29304.39063,30696.42188,28444.18164,29706.87695,27174.44531,27580.20313,25843.92969,27585.87109,23665.13086,29163.87109,27731.85156,26940.64844,28058.50781,27138.54492,26200.09375,23448.25781,21974.61328,25015.57617,21293.19141,22415.03125
Q6UY14,16565.34375,15638.30371,16855.75977,15453.01074,14537.40234,13045.37109,11766.83691,18978.67578,18550.74414,17437.63672,19591.63281,17991.38086,16804.99609,16226.88574,17213.29102,16249.01172,18413.85938,15348.06152,15232.77832,9811.74707,12638.54102,12554.85449,13168.9668,12869.94238,12906.52832,12675.36035,11009.08008,13891.75488,14157.11328,16048.19824
Q76LX8,16762,16381.18652,16243.99902,14520.3457,14499.41992,15459.70215,12822.88965,13065.71875,13991.25,12155.42578,12903.03125,11501.33789,12981.23633,14491.92969,20064.47852,18270.85547,18631.83789,18304.86719,14915.40625,14709.14063,19488.87695,20418.89063,18781.39063,18358.05859,18533.01953,16710.33984,17583.11719,16267.36719,16428.02344,14543.3252
Q7Z7G0,6500.406738,4238.376465,4866.685059,5783.646484,5365.241699,7176.132813,8510.833984,10426.61914,11378.36035,9926.93457,10665.90918,10512.65332,10564.5,11088.61816,7984.548828,8390.810547,8414.211914,8821.31543,9037.792969,9633.974609,7519.827637,5892.473633,7123.479004,6734.320313,6549.171387,7169.667969,7251.689941,8871.103516,8347.158203,8564.982422
Q7Z7M8,3691.091309,3433.45166,4360.988281,5369.68457,4145.466309,NA,NA,5360.074707,1004.329224,7477.387695,7073.491699,6171.908203,6317.90918,8580.657227,7241.95459,7497.79248,6352.896484,7127.194336,7394.857422,NA,4688.650879,5912.41748,6131.821777,6428.04248,5856.377441,6850.302246,6160.124023,4358.449219,6077.152344,NA
Q86SQ4,4332.003906,5540.023926,5753.69043,5777.867676,8618.203125,6313.605469,8644.822266,3548.241455,5785.985352,5374.025391,5789.471191,5436.583984,6980.635742,7908.025879,7911.522949,7341.535156,8519.891602,8622.097656,10981.94238,9255.172852,3846.140625,5260.993164,4961.797852,6312.441895,6365.796875,7796.099609,8810.175781,5515.409668,9487.789063,8548.041016
Q86TH1,3130.282471,3844.632568,2293.886475,3700.868164,4149.393066,2690.487061,NA,2652.689697,2843.264648,2799.88208,3569.453125,NA,NA,2242.090576,2909.562988,NA,1181.195068,2255.729492,NA,NA,4658.260742,4518.833496,5646.047363,2939.163818,3292.837402,3423.639404,1709.306396,1721.510376,1302.213623,NA
Q86U17,6777.753418,10988.63574,9146.084961,7422.920898,9312.511719,9327.035156,5983.937988,11042.67578,10721.8252,13255.10742,12592.55664,13121.57129,14396.70313,10165.375,7247.162598,9586.148438,10396.36816,8592.817383,8913.928711,8894.359375,NA,810.1262817,2896.131592,2213.583984,1503.073975,3320.654785,2644.603271,9058.954102,7883.381836,8691.276367
Q86UD1,8692.336914,5750.119141,6210.700195,5935.52832,5970.358398,5292.904297,4851.404785,7205.417969,5863.788574,5515.197266,5181.326172,5733.783203,4947.194336,5127.466797,4160.321289,5168.098145,4612.103516,5480.536621,4339.98584,4178.596191,5838.84668,4303.691406,4793.466309,5741.437988,3479.624268,5007.743652,4427.832031,3310.981201,4948.994141,3734.287109
