,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P00740,85859.95313,83085.80469,87327.60938,82042.64063,84120.80469,78963.50781,71539.57813,72869.40625,73680.1875,77844.77344,79507.40625,79775.49219,71379.84375,61326.25,86001.09375,85226.07031,84030.13281,86721.47656,72186.07031,63141.36719,81171.28906,85306.11719,85101.4375,83053.63281,85013.74219,80417.23438,78772.25,70764.21094,67967.5,71328.65625
P00742,90578.27344,80483.08594,84531.40625,77926.89063,74980.60156,72118.80469,67961.375,103288.8906,99067.83594,102149.8125,94360.5,93799.10156,81110.50781,80098.42188,90623.10156,91396.24219,87232.29688,88018.46875,81990.42188,68035.96094,96108.35156,91020.59375,91699.16406,94515.78906,91437.47656,78723.15625,67880.10938,77288.23438,73341.07031,77604.72656
P00746,71793,64033.67578,65343.55078,56693.87109,61226.0625,51817.82031,56632.39453,64094.33594,69678.46875,60781.69141,67850.89063,65340.75781,58377.77734,54138.42969,81515.63281,73256.42969,61844.88672,63585.88281,58102.08984,54363.25,101450.4219,102656.1172,94643.84375,93069.8125,85122.49219,72308.625,77595.44531,62766.40234,72304.03125,73822.8125
P00747,2229322.75,2235815,2230209.5,2160647.25,2190810.75,2097908.5,1903506.375,2210298.75,2154469.25,2152962.25,2154914.75,2119472.25,2075920.125,2077023.625,2360358.5,2375289,2339252.75,2345807,2149735.5,1749529.5,2373607.5,2370684,2327645.5,2353537.25,2329978,2314471,2294390.75,2072515.5,2063383.875,2034758.125
P00748,236632.875,233589,228047.6406,220761.0313,221908,211729.0156,198362.375,529910.125,514125.9688,506542,506929.625,507304.1875,485111.6563,501290.6563,557298.375,567276.6875,554494.75,558534.5,524781.5625,474410.125,498230.2188,500813.5313,498189.875,501839,496181.0313,480725.5313,474887.6875,406910.875,399280.3438,409039.5625
P00751,1664781.5,1654989.375,1632180.25,1616373.5,1636989.25,1632618.25,1648866.5,1410995.25,1400089.25,1390507.75,1416739.5,1382896.875,1403872.75,1406139,1792714.875,1774420.25,1763224.375,1765576.625,1804061,1788908.125,2065667.875,2037724.375,2015095.25,2020417.5,2037255.875,2040257,2072541.375,1679038.25,1679136,1682480.625
P00760,32615588,31813162,30707026,27885154,32513652,33952840,36490008,40217972,32509674,34511496,32911118,33249694,32149610,33161114,30952766,32809164,30786170,31425058,32723450,38937208,34680604,31798584,31936202,29514386,30709660,31474172,30785690,29389684,29302746,29569084
P00761,50531.69922,45540.04297,42968.55859,32543.51758,39031.04297,49913.87109,45178.89844,43845.07031,50717.43359,44786.04688,44141.77344,59114.73438,48625.21875,50393.18359,42690.29297,60829.75,40970.19922,46696.44141,44878.32813,46498.21094,50614.91406,41021.15625,46630.67578,26817.16211,53955.54297,27344.37109,40670.19141,41933.9375,29348.9043,22398.37695
P00915,72234.78906,149297.1875,176848.5156,357693.625,214596.5625,522187.5313,642376.875,96839,128260.9375,118772.6875,189078.2344,229506.1094,506275.0938,491237.1875,191456.5781,193215.4219,335584.75,477164.3438,850646.375,1029619.375,151614.0781,110619.7266,167389.0313,290165.2813,209784.8125,503800.9375,607865.75,361057.4063,359769.3125,372308.9375
P00918,17974.94531,41226.29688,48955.83594,96318.5,57472.34766,130611.5313,149303.3125,33134.53125,46996.60547,45490.26172,69042.29688,79813.70313,158090.1875,152282.5938,52970.92578,51798.82031,86938.83594,120227.9688,194408.9688,232132.5,35908.84766,30829.27734,45797.02344,71125.63281,57871.07813,124251.3125,142545.5469,93805.34375,97133,96180.95313
P01008,2545086,2489715.75,2493725,2429347.75,2426894.5,2336252.5,2424194.75,2697915.25,2700063.5,2625945.5,2602089,2594974.5,2591591,2615315.75,2797273,2833515.5,2706360,2745200,2862770.5,2977645.25,2709469.5,2668347.5,2580616.25,2559711.25,2543364,2485784.75,2520074,2672615.25,2664995.5,2636531.5
P01009,15344582,15402599,15404447,15385536,15272612,15129081,16126980,16919762,17133582,16621813,16818980,16568032,17095244,16660637,14032767,13782104,13790364,14012740,14817253,15554583,13433774,13347524,13254733,13647879,13383709,13020482,13106057,15934298,15922368,15672349
P01011,3250995.5,3183006,3177194.5,3165437.75,3181299.5,3217071.25,3273358.25,2908664.75,2849390.75,2814678.25,2864368.25,2808738.25,2848482.75,2903705.75,2708103.25,2642398.25,2632084.25,2664674.5,2872617.25,3023595.75,3341792.5,3251496.5,3209611.75,3261324.25,3213145,3272074.5,3281307.25,3086623,3063363.25,3092148.75
P01019,1234971.75,1246358.25,1209826.75,1197727.25,1218134.875,1178804.875,1220375.375,1210363.375,1174590.125,1157259.75,1161863.5,1132386.875,1101106.375,1088713.25,1213438.625,1177515.125,1166897.875,1176962.75,1217827.625,1230753.125,898400.125,889174.875,865602.5,868057.375,858569.0625,808056.625,807612.1875,1143516.875,1154060.875,1147274.375
P01023,6700745,6736589.5,6718486,6688616.5,6616559.5,6579899.5,6593262,12540831,12552044,12397402,12565645,12294941,12467733,12109168,8526225,8433887,8415559,8428981,8693988,8444834,6669443.5,6667760.5,6623217,6707761,6638162.5,6334900.5,6300612.5,8385966,8369033.5,8211855
P01024,7023277.5,7013851,7053414,6988510.5,7042937.5,7055959,7088353.5,6001566.5,6066167.5,5986415.5,6048376.5,5946947.5,6111534,5990474,6205196,6110747.5,6098723.5,6210773,6409403.5,6388249.5,6388477.5,6362596.5,6333089.5,6404038.5,6352459.5,6318321,6312705,6351895.5,6338277,6331871.5
P01031,403437.5625,410341.2188,404498.4688,407232.4688,400362.5,403930.6875,387093.4063,374863.8125,363400.4688,362702.875,369152.9688,361407.6875,363624.75,339615.5,407142.9688,404662.6875,406673.4063,402301.875,414687.6563,394756.2188,481713.4375,479345.9063,470385.8125,488931.25,466550.3125,446188.375,433124.2188,398817.9375,391922.6875,398189.875
P01033,5236.486328,8965.75293,6978.77002,10207.77051,9859.785156,10378.36035,9868.96582,11615.28809,10822.93164,9110.233398,20218.08594,15716.01953,23764.49023,15145.10449,11553.5625,8382.275391,15799.99121,13297.27637,14539.23535,19010.74023,8566.492188,14420.25586,13276.21973,29129.86719,23525.23047,50438.92969,27846.5625,11284.99414,12731.00488,12402.99121
P01034,37962.16797,35928.6875,37978.80859,36418.89063,37951.17578,34228.15234,33656.41797,41703.46875,43105.76953,39591.41406,39002.66797,37517.61719,39803.62109,37904.76172,46941.49219,45645.30859,45113.04297,44322.10938,44832.01172,42067.92969,43963.58984,46837.18359,44852.14453,41922.6875,41721.27734,44704.61328,42655.12891,39517.64844,37562.88281,38976.43359
