,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P08238,121046.5547,118104.1563,120073.1641,127078.8672,121082.3516,124853.1641,116173.9063,164225.0781,156220.375,165281.6875,159009.6406,162658.9375,162981.7188,153977.2031,150368.875,150241.9844,153312.625,156230.7656,152574.0313,146839.4063,140974.7031,116893.2813,119503.2422,118417.3828,116918.4375,124065.375,117038.2734,110720.4609,135112.7969,137841.1875,136792.9688
P08246,36752.25781,48663.18359,42869.25391,43828.55469,41702.14063,40712.59375,36209.69922,38076.32813,60180.27344,44400.85547,47550.02734,42494.97656,37828.25781,42720.12109,33573.01953,42835.68359,41875.01953,39655.48438,34737.875,37621.05469,39102.30859,51379.69922,56372.48438,57416.52344,53391.3125,46898.89063,43766.08203,46047.01172,46000.96484,43976.46094,39451.48828
P08311,51430.32422,59253.66016,51722.95313,59459.73828,55634.89453,41207.54297,41252.53125,79003.79688,96106.39844,79152.60938,87347.15625,78246.14063,70322.88281,71564.77344,50098.26953,58368.35156,53536.94141,60239.08984,50279.9375,53437.9375,48069.52344,76318.875,81656.35938,79264.15625,80678.79688,72900.47656,68050.125,69893.15625,64864.5,68240.10156,69000.49219
P08397,54597.22656,55973.91797,53597.16016,52893.98047,50692.94141,51291.36719,51222.29688,78116.39844,80840.375,77114.78906,74867.77344,77085.59375,77303.17188,73960.45313,75901.0625,74405.21094,75544.32813,75614.67969,76288.16406,71330.36719,68891.96875,55232.91797,53791.3125,51662.41016,50312.43359,51521.30469,53826.98828,48939.16016,62826.28906,63134.1875,60820.19531
P08514,11589.7041,30324.14648,28578.40234,28623.0332,25507.17578,22726.74805,22800.5918,29387.69531,51040.8125,49453.00391,45473.1875,47969.62891,31193.36328,40176.09375,12241.72363,28587.50781,30557.64063,23395.48242,21079.56641,18479.25195,25235.55469,26654.36328,52666.92578,60932.95703,43356.36328,48999.33203,32094.5,49260.39453,35286.71484,34941.54688,34076.09766
P08519,989313.125,335641.5938,932844.375,1008493.125,1158719.5,1098920.5,1116041.625,125017.7344,91504.64063,118330.2891,127516.5703,132994.9531,126030.7656,136865.3594,37710.14453,40083.22266,38667.64453,37572.84766,33582.03906,47764.22266,45565.40625,37188.90234,36760.93359,37563.01172,39439.87891,30108.72461,38533.23047,39494.10156,277014.4063,286386.4688,272319.5625
P08567,8855.737305,19933.96094,20027.39063,21799.35742,17886.18555,13706.99414,13380.85156,17654.89063,28331.80469,33875.67969,27455.69727,25419.48047,15718.63672,21663.10742,5479.887695,17142.81445,18604.41211,12201.24707,9166.892578,9607.198242,8441.077148,19613.8457,32227.77539,44960.12109,32053.57617,33363.92969,21228.39063,30240.67773,22770.72266,18025.00195,21197.1875
P08571,17701.6582,16757.94531,15244.36035,17538.31836,17921.80859,19124.60742,19784.26563,16075.8418,16386.05469,20271.83594,17757.17578,18147.94922,18441.42383,19091.50391,17692.63477,17250.13477,14519.68164,16300.5459,17950.26758,19209.28906,17248.02539,14723.79492,11775.23145,15655.48242,14758.52051,13668.25293,16601.6543,14383.68262,17117.47656,17133.86719,17088.47266
P08603,725394.5625,193111.7031,730743.5625,800488.5,883275.1875,845319.75,862544.125,670652.5,123589.4219,646770.9375,683131,655369.9375,720914.1875,686777.5,689650.4375,714777.3125,675886.1875,696769.8125,733944.8125,939982.5,829728.0625,834595.3125,876665.3125,927284.1875,913308.125,829125.25,866078.875,1069066,766255.1875,760151.5625,745259.125
P08670,19598.05664,25052.625,21854.60938,24353.29688,24076.97461,28373.57617,20522.87305,33489.97266,40156.05859,33552.09766,41657.22266,43833.51953,40498.10938,41440.41406,16737.11133,20831.79492,18294.33789,23106.63477,17905.11328,22741.00781,18943.4668,30502.36328,36752.18359,33766.25,38357.40234,39560.53125,40330.30859,41342.19141,31426.61914,33237.17188,32300.79297
P08697,762964.6875,775777.0625,702625.4375,713878.25,764636.5625,670304.0625,736211.125,742613,738344.5625,688056.875,720947,689416.5,699152.3125,691906.8125,667670.125,639204.4375,622388.9375,620467.1875,648070.1875,692200.5,685022.125,647479.5,619699.375,704621.1875,656828.5,629020.8125,611667.625,701877.875,693338.4375,689341.1875,677764.1875
P08709,5336.316895,6733.314453,4066.365479,3477.264648,4699.076172,5089.253418,4424.248047,3744.367432,4468.83252,3913.645996,4401.475586,3297.821533,3965.702393,3832.534668,3272.156494,2985.821045,4580.370605,4009.570313,3352.134766,4186.095703,3283.763428,3562.612305,3507.976807,3368.260498,4044.312988,3670.275391,4175.215332,3139.487549,4170.311523,3734.998047,3816.510498
P08754,8231.93457,8716.040039,8436.179688,8697.349609,7659.433105,8787.048828,7432.75,8826.998047,8775.238281,9444.504883,7278.585449,8512.838867,8117.419922,7517.976074,8125.681152,7997.603027,7746.929199,8124.654785,7602.267578,8212.568359,7669.050781,8908.198242,8484.591797,9606.553711,8026.211914,8502.043945,8856.510742,6901.099609,8699.383789,7990.314453,7833.256348
P09104,179807.0469,172570.5156,191931.8594,190790.4219,177672.125,193847.5469,191008.375,211177.7031,185755.8438,212398.5781,199411.4844,204755.7969,209548.2969,203176.7344,264266.125,273126.2813,271872.375,285634.8125,287385.4375,265589.125,277135.2813,207998.625,222092.2031,225237.3594,203271.7813,198229.8125,208388.2188,193634.0469,202061.9063,223540.0781,205412.1875
P09105,200539.875,182195.8125,194622.9688,199233.7656,191990.0313,204097.1406,194289.2813,261833.5469,272143.7188,270250.6875,262058.2656,268428.3438,266840.3438,265882.75,311373.7813,310042.4375,316414.375,319137.4063,325698.7188,289384.7813,303421.5938,221048.3281,220217.6094,210903.5156,214421.8281,222087.25,233555.9688,208016.75,232568.7344,254531.9688,240498.6563
